咪咕央卫,#genre#
英超 考文垂VS赫尔城 全场回放（智能解说） 21:55,http://45.192.97.170:8880/play/201.m3u8
英超 伯恩茅斯VS埃弗顿 全场回放（郭灿亮） 21:55,http://45.192.97.170:8880/play/202.m3u8
英超 伯恩茅斯VS埃弗顿 全场回放（AI智慧观赛） 21:55,http://45.192.97.170:8880/play/203.m3u8
英超 伯恩茅斯VS埃弗顿 全场回放（智能解说） 21:55,http://45.192.97.170:8880/play/204.m3u8
西甲 莱万特VS皇家贝蒂斯 全场回放（李霄） 22:45,http://45.192.97.170:8880/play/205.m3u8
法甲 斯特拉斯堡VS朗斯 全场回放（盛斌） 23:00,http://45.192.97.170:8880/play/206.m3u8
男篮世预赛 刚果共和国VS马里 全场回放（赛场原声） 23:20,http://45.192.97.170:8880/play/207.m3u8
体育0830,#genre#
英超 托特纳姆热刺VS纽卡斯尔联 全场回放（李子琪、徐阳、苏东） 00:15,http://45.192.97.170:8880/play/208.m3u8
意甲 萨索洛VS都灵 全场回放（乔迁） 00:15,http://45.192.97.170:8880/play/209.m3u8
意甲 蒙扎VS乌迪内斯 全场回放（梁祥宇） 00:15,http://45.192.97.170:8880/play/210.m3u8
意甲 佛罗伦萨VS弗罗西诺内 全场回放（刘焕） 00:15,http://45.192.97.170:8880/play/211.m3u8
德甲 多特蒙德VS汉堡 全场回放（沈云怡、鲁靖明） 00:15,http://45.192.97.170:8880/play/212.m3u8
西甲 皇家社会VS西班牙人 全场回放（张天翼） 00:45,http://45.192.97.170:8880/play/213.m3u8
男篮世预赛 塞内加尔VS安哥拉 全场回放（赛场原声） 02:20,http://45.192.97.170:8880/play/214.m3u8
法甲 里昂VS勒阿弗尔 全场回放（乔迁） 02:30,http://45.192.97.170:8880/play/215.m3u8
法甲 布雷斯特VS图卢兹 全场回放（邵煊） 02:30,http://45.192.97.170:8880/play/216.m3u8
法甲 欧塞尔VS昂热 全场回放（盛斌） 02:30,http://45.192.97.170:8880/play/217.m3u8
意甲 尤文图斯VS帕尔马 全场回放（孙雨轩、刘腾） 02:30,http://45.192.97.170:8880/play/218.m3u8
法甲 洛里昂VS特鲁瓦 全场回放（刘一臻） 02:30,http://45.192.97.170:8880/play/219.m3u8
西甲 塞维利亚VS马德里竞技 全场回放（张昊泽、王宇） 03:15,http://45.192.97.170:8880/play/220.m3u8
铁人三项系列赛 “她铁”粉色铁人三项挑战赛 解说 06:00,http://45.192.97.170:8880/play/221.m3u8
WTA 黛安娜·帕里VS梅尔滕斯 全场回放（郭丰庆） 07:30,http://45.192.97.170:8880/play/222.m3u8
WTA 黛安娜·帕里VS梅尔滕斯 全场回放 07:30,http://45.192.97.170:8880/play/223.m3u8
WTA 黛安娜·帕里VS梅尔滕斯 全场回放 07:30,http://45.192.97.170:8880/play/224.m3u8
马拉松系列赛 2026兰州新区马拉松 2026兰州新区马拉松全场回放（赛场原声） 07:15,http://45.192.97.170:8880/play/225.m3u8
粤港澳大湾区滑雪公开赛 鹏城之巅·2026粤港澳大湾区滑雪公开赛 解说 09:00,http://45.192.97.170:8880/play/226.m3u8
